"","klasifikasi","score","text"
"1","Negatif",-1," kapolda jatim lakukan peninjauan pelaksanaan vaksinasi dan pemberian bansos di gerai vaksin polres pelabuhan tanjung p"
"2","Negatif",-2,"     kok nyalahin wawasan orang lain  emang pernah ad "
"3","Negatif",-1,"cara daftar dtks kemensos agar dapat bansos desember  unduh aplikasi cek bansos di hp  "
"4","Positif",2," dia sdh ada job baru panglima nggarong dana haji bpjs bansos "
"5","Negatif",-1,"kapolda jatim lakukan peninjauan pelaksanaan vaksinasi dan pemberian bansos di gerai vaksin polres pelabuhan tanjun "
"6","Negatif",-1,"babinsa kel ngelo serka sutikno melaksanakan giat komsos bersama bhabinkamtibmas dan warga bertempat di lingkungan "
"7","Positif",2,"selamat pagi sobat presisi pada hari ini jumat  desember  bertempat di balai desa sanggrahan bhabinkamtimba "
"8","Netral",0,"      move on apa sih move on pajak bea "
"9","Negatif",-1,"kemarin gubernur lampung salurkan bansos penanganan dampak inflasi  "
"10","Positif",1," tumbuhkan empati terhadap saudarasaudara yang terdampak banjir bandang di ds sinomwidodo kec tambakromo plt kapolrest"
"11","Negatif",-2,"keceriaan anakanak cianjur saat diadakan trauma healing polri  memberikan pendampingan trauma healing kepada anak "
"12","Negatif",-1,"bhabinkamtibmas desa karyalaksana aiptu suparno melaksanakan giat monitoring penyaluran bansos bpnt pkh dan bbm di "
"13","Negatif",-2,"polri salurkan bansos kepada masyarakat korban gempa cianjur  distribusicapaipelosok jangkau warga terisolir "
"14","Netral",0,"kami ada untukmu saudaraku   momen anak anak yang tersenyum mengikuti kegiatan trauma healing yg di gelar porli di "
"15","Positif",1,"polri kembali salurkan bantuan sosial kepada para warga korban bencana gempa bumi di cianjur jawa barat bansos ini "
"16","Netral",0,"makasih buat polri yang udah salurkan bansos ke warga korban gempa cianjur  distribusicapaipelosok jangkau warga t "
"17","Negatif",-1,"tim satgas kesehatan polri berikan saluran bansos kepada warga korban gempa cianjur distribusicapaipelosok jangkau "
"18","Positif",2,"alhamdulillah bansos udh smpe ke pelosok daerah distribusicapaipelosok jangkau warga terisolir "
"19","Negatif",-1,"distribusicapaipelosok polri menyalurkan bansos ke warga korban gempa dan jangkau warga terisolir "
"20","Positif",2,"personel polri menyalurkan bansos dan mengirimkan juga tim satgas kesehatan untuk memberikan pelayanan kesehatan ke "
"21","Negatif",-3,"wahh sukarelawan polwanpolwan mmbantu anakanak agar mereka lupa dengan trauma nya terhadap bencana gempa  para  "
"22","Netral",0,"bansos dari polri distribusicapaipelosok sehingga jangkau warga terisolir "
"23","Netral",0,"trauma healing untuk senyum anak anak cianjur didampingi oleh polri dan juga penyaluran bansos meringankan beban me "
"24","Negatif",-1,"polri salurkan bansos untuk korban gempa cianjur  distribusicapaipelosok jangkau warga terisolir "
"25","Positif",1,"hebat polri cekatan dan tepat dalam menyalurkan bansos  big respect distribusicapaipelosok jangkau warga terisol "
"26","Negatif",-1,"salut sama jajaran para polri yang udah berpartisipasi dalam misi kemanusiaan menyalurkan bansos untuk para korban "
"27","Negatif",-2,"lugas bervisi misi menjilat sanai tukang dusta profesional berbayar  luncurkan scene drakor dukung "
"28","Negatif",-2," bingung harus ngapain saat jadi kelompok masyarakat pokmas di program bansos permakanan  yuk ikutin lima  langkah yang"
"29","Netral",0,"  lagi keadaan kaya gini bukannya sibuk cari logistik buat survive malah bikin tenda buat ngewe pikirannya pad"
"30","Negatif",-4,"   ya iya aman tukang maen isu saranya kenyang makan bansos wan abud turun lapar lagi"
"31","Netral",0,"dinas sosial kab bekasi   laksanakan monev penyaluran bansos bltbbm bpnt dan pkh tahap ii bagi kpm di "
"32","Positif",1,"one day one bansos  kapolres sumbawa barat akbp heru muslimin  sikmip memberikan bantuan sembako kepada masyarak "
"33","Positif",1,"catat  syarat agar lansia dapatkan bansos program permakanan kemensos   "
"34","Negatif",-2," kelelahan hingga pingsan saat antre bansos seorang wanita di bogor meninggal dunia  liputan  "
"35","Negatif",-2," kelelahan hingga pingsan saat antre bansos seorang wanita di bogor meninggal dunia  liputan  "
"36","Negatif",-2," kelelahan hingga pingsan saat antre bansos seorang wanita di bogor meninggal dunia  liputan  "
"37","Negatif",-2,"kelelahan hingga pingsan saat antre bansos seorang wanita di bogor meninggal dunia  liputan  "
"38","Negatif",-1,"kapolsek cilawu polres garut di dampingi kanit samapta dan bhabinkamtibmas memantau pelaksanaan penyaluran bansos d "
"39","Negatif",-1,"jajaran polsek sindangwangi polres majalengka mengawal ketat penyaluran bansos dari pemerintah yakni blt bbmbpnt d "
"40","Netral",0,"unit samapta polsek cilawu polres garut melaksanakan pengamanan kegiatan penyaluran bansos di desa dangiang "
"41","Negatif",-2,"  bapak muhammad said didu yg terhormat saya tau bapak bukan orang bodoh yuk bapak dibuka ot "
"42","Negatif",-1,"  perlu dipahami ya  data bansos itu usulan dari bawahdesa ntah periode  sampai yang "
"43","Positif",1,"giat sambang serta pembagian bansos sembako dalam rangka jumat berkah oleh bhabinkamtibmas kel galay dubu bersama b "
"44","Positif",1,"bansos pkh tahap  cair desember  ibu hamil juga kena rejeki rp ribu cek kategori penerima lainnya "
"45","Negatif",-1,"  sumber kami juga ada yang dari akar rumput baik petugas atau masyarakat biasa dtks itu data "
"46","Negatif",-1,"  banyak bansos ditolak gara beda agama statement intoleran nih fakta di lapangan gak ka "
"47","Positif",3,"apa itu pokmas pengelola bantuan sosial permakanan untuk lansia yang diberikan setiap hari  "
"48","Negatif",-3,"  bagaimana jika kita terdaftar dan sudah tersalurkan tpi tidak mendapat kode qr dari apl "
"49","Negatif",-1,"penyaluran bansos penanganan inflasi di bangkalan menunggu skbupati "
"50","Negatif",-1," bansos nya bandot"
"51","Negatif",-2,"giat bansos bhabinkamtibmas polsek batibati polres tanah laut bripka saputa nor adha kepada masyarakat desa kaitk "
"52","Negatif",-2,"aga bingung sih sm orgorg indonesia tuh berdoa sm tuhan nya pgn kayaaa tp pas didata sm pemerintah pgn di miskinkan biar dapet bansos"
"53","Positif",1,"tumbuhkan empati terhadap saudarasaudara yang terdampak musibah banjir bandang di ds sinomwidodo kec tambakromo "
"54","Positif",1,"tumbuhkan empati terhadap saudarasaudara yang terdampak banjir bandang di ds sinomwidodo kec tambakromo plt ka "
"55","Negatif",-1," menyalurkan hobby bukan bansos"
"56","Negatif",-1,"  klu ada bansos langsung pura kere"
"57","Positif",1,"cek di dtks sebagai penerimaafaat tpi blt bansos tidak prnah dapat sma skli dri dulu sampai mendaftar kjp buat ana "
"58","Netral",0,"  giliran bansos antri paling depan"
"59","Netral",0," mendaftar x kjp anak tpi tidak pernah lolos padahal penerima manfaat di dtks tpi tidak pernah dapat "
"60","Negatif",-3,"  di daerah rumah mamahku yg dapet bansos orang yg deket sama nya nder"
"61","Negatif",-1,"  yg bikin relawanterus hal gini juga lumrah karena termasuk sop pd bencanaterus banso "
"62","Netral",0," penyaluran bansos yang dilaksanakan oleh kapolres pasangkayu kepada masyarakat yang membutuhkan    "
"63","Netral",0,"penyaluran bansos yang dilaksanakan oleh kapolres pasangkayu kepada masyarakat yang membutuhkan   "
"64","Negatif",-1,"polsek rkt polres prabumulih memberikan bansos kepada masyarakat yang sakit    "
"65","Negatif",-1,"dasar kadrun giliran ada bansos bacot paling duluan  "
"66","Negatif",-1,"kapolres metro tangerang kota cek langsung penyaluran bansos di kelurahan gerendeng karawaci aman dan tepat sasara "
"67","Negatif",-1," kalo after office aku suka bingung ini gym apa antrian bansos alias rame betoll"
"68","Positif",1,"bhabinkamtibmas desa suka damai aipda basruddin polsek muara badak polres bontang melaksanakan giat bansos "
"69","Netral",0,"  lagi keadaan kaya gini bukannya sibuk cari logistik buat survive malah bikin tenda buat ngewe pikirannya pad"
"70","Negatif",-1,"bhabinkamtibmas bripka saharuddin sh dan babinsa serda muh ali kel mallusetasi menyalurkan bansos kepada masyara "
"71","Negatif",-1,"apakah bisa dapat bsu  kali simak informasi terbaru dan cara cek penerima  bsu bsu "
"72","Netral",0," iyasiii  tapi mayanlah apapapun demi bansos "
"73","Netral",0,"giat kanit samapta bersama waka polsek muara badak melaksanakan bansos di desa tanjung limau kecamatan muara badak "
"74","Netral",0," sejuta doang bansos apa nyogok itu wkwkwk"
"75","Netral",0,"kapolsek siantar selatan  iptu edi tuahta p saragih sh mh mewakili kapolres pematang siantar bersama dengan perso "
"76","Netral",0,"waka polsek muara badak iptu lamser l  bersama kanit samapta membagikan bansos kepada warga desa tanjung limau "
"77","Netral",0,"  lagi keadaan kaya gini bukannya sibuk cari logistik buat survive malah bikin tenda buat ngewe pikirannya pad"
"78","Netral",0,"gimana caranya spy dpt bansos jg   "
"79","Netral",0," bansos abis kayaknya"
"80","Netral",0,"  lagi keadaan kaya gini bukannya sibuk cari logistik buat survive malah bikin tenda buat ngewe pikirannya pad"
"81","Netral",0,"  lagi keadaan kaya gini bukannya sibuk cari logistik buat survive malah bikin tenda buat ngewe pikirannya pad"
"82","Negatif",-2,"upah naik sementara kebutuhan bahan pokok bertambah mahalotomatis pengeluaran lebih besar dari pendapatanalangka "
"83","Netral",0,"  lagi keadaan kaya gini bukannya sibuk cari logistik buat survive malah bikin tenda buat ngewe pikirannya pad"
"84","Negatif",-1,"buleleng akan gunakan did rp miliar untuk cadangan pangan desa hingga beri bansos masyarakat terdampak "
"85","Netral",0," di aku dari awal begono apa krn udah selalu make premium yak jd sp mikirnya gue banyak duit gitu "
"86","Netral",0,"bismillah bansos  primo "
"87","Positif",2,"mbah man sudah mewakili orangorang yg tdk mampu untuk mendapatkan bansos "
"88","Netral",0," bansos  ngewe "
"89","Negatif",-1,"kannn ngentotttt gue lupa bansos gue anjjjjjj"
"90","Netral",0,"mayan dapet bansos pagi "
"91","Negatif",-1,"pantau penyaluran bansos kapolres situbondo akbp dr andi sinjaya apersiasi minat masyarakat untukvaksin "
"92","Netral",0,"  lagi keadaan kaya gini bukannya sibuk cari logistik buat survive malah bikin tenda buat ngewe pikirannya pad"
"93","Netral",0,"  lagi keadaan kaya gini bukannya sibuk cari logistik buat survive malah bikin tenda buat ngewe pikirannya pad"
"94","Netral",0,"  emang kadrun ngakuin jokowi presiden ngakuinya klo mau ambil bansos doang"
