"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @HumasPoldaJatim: Kapolda Jatim lakukan Peninjauan Pelaksanaan Vaksinasi dan Pemberian Bansos di Gerai Vaksin Polres Pelabuhan Tanjung P…",FALSE,0,NA,2022-12-02 03:15:33,FALSE,NA,"1598516188640083968",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","HumasResProb_",1,TRUE,FALSE,NA,NA
"2","@RomeoDarkKnight @andhikakaras @AloysiusCandra @Anak__Ogi @jokowi Kok nyalahin wawasan orang lain 😂
Emang pernah ad… https://t.co/TrMTnjjACM",FALSE,1,"RomeoDarkKnight",2022-12-02 03:10:50,TRUE,"1598511003884752897","1598515002876755968","1502823661874520073","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JustAFreeStyle",0,FALSE,FALSE,NA,NA
"3","Cara Daftar DTKS Kemensos agar Dapat Bansos Desember 2022, Unduh Aplikasi Cek Bansos di HP https://t.co/xmjjb1lJtN https://t.co/4zjTDSKj9u",FALSE,1,NA,2022-12-02 03:10:35,FALSE,NA,"1598514941128224769",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","pikiran_rakyat",0,FALSE,FALSE,NA,NA
"4","@democrazymedia Dia sdh ada job baru Panglima Nggarong dana haji bpjs bansos🤪🥵 https://t.co/yPk5OrI5Lm",FALSE,0,"democrazymedia",2022-12-02 03:10:09,FALSE,"1598255593101283329","1598514831891791880","1243804423001763841","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","marline_un",0,FALSE,FALSE,NA,NA
"5","Kapolda Jatim lakukan Peninjauan Pelaksanaan Vaksinasi dan Pemberian Bansos di Gerai Vaksin Polres Pelabuhan Tanjun… https://t.co/BFYhnO4Xw0",FALSE,1,NA,2022-12-02 03:09:46,TRUE,NA,"1598514733585661953",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","HumasPoldaJatim",1,FALSE,FALSE,NA,NA
"6","Babinsa Kel Ngelo serka sutikno melaksanakan giat komsos bersama bhabinkamtibmas dan warga bertempat di lingkungan… https://t.co/GxljXcAMLh",FALSE,0,NA,2022-12-02 03:09:29,TRUE,NA,"1598514664186740736",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DarMint96826137",0,FALSE,FALSE,NA,NA
"7","Selamat pagi sobat Presisi
Pada hari ini Jumat, 02 Desember 2022 bertempat di balai desa Sanggrahan. Bhabinkamtimba… https://t.co/rxu6NzKOdR",FALSE,0,NA,2022-12-02 03:09:20,TRUE,NA,"1598514624558936066",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","PolsekPrambon10",0,FALSE,FALSE,NA,NA
"8","@RomeoDarkKnight @kiputmoza @AloysiusCandra @andhikakaras @Anak__Ogi @jokowi Move on apa sih? Move on pajak 11%?bea… https://t.co/3GSAdba6eU",FALSE,0,"RomeoDarkKnight",2022-12-02 03:07:47,TRUE,"1598510250352865280","1598514237781213184","1502823661874520073","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JustAFreeStyle",0,FALSE,FALSE,NA,NA
"9","Kemarin Gubernur Lampung salurkan bansos penanganan dampak inflasi

https://t.co/BIe1XYkvub",FALSE,0,NA,2022-12-02 03:06:45,FALSE,NA,"1598513975989358599",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","InfoBDL",0,FALSE,FALSE,NA,NA
"10","RT @PolresPati1: Tumbuhkan empati terhadap saudara-saudara yang terdampak banjir bandang di Ds. Sinomwidodo Kec. Tambakromo, Plt. Kapolrest…",FALSE,0,NA,2022-12-02 03:04:42,FALSE,NA,"1598513458701795328",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TeweL0101",1,TRUE,FALSE,NA,NA
"11","Keceriaan Anak-anak Cianjur Saat diadakan Trauma Healing.
Polri  memberikan pendampingan trauma healing kepada anak… https://t.co/YpeqC2VKz6",FALSE,0,NA,2022-12-02 03:02:42,TRUE,NA,"1598512957268557826",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","bukanpentolmu",0,FALSE,FALSE,NA,NA
